,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
269,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,26-064,1994,11,0,136,1.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
270,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,23-020,1998,17,17,1504,16.7,2,1,1,1,6,0,0.12,0.06,0.18,0.06,0.12,1.9,1.1,1.6,0.11,0.09,0.20,0.07,0.16,Matches
271,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,23-055,1997,13,10,820,9.1,1,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,0.2,0.06,0.02,0.09,0.06,0.09,Matches
272,Pau López\Pau-Lopez,es ESP,GK,Roma,26-046,1994,9,8,737,8.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
273,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,20-349,2000,15,9,908,10.1,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches
274,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,25-182,1995,18,16,1288,14.3,9,2,0,0,3,0,0.63,0.14,0.77,0.63,0.77,6.1,6.1,2.7,0.42,0.19,0.61,0.42,0.61,Matches
275,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,31-023,1990,18,12,1210,13.4,0,2,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.9,0.01,0.07,0.08,0.01,0.08,Matches
276,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,27-260,1993,18,15,1333,14.8,12,3,3,3,3,0,0.81,0.20,1.01,0.61,0.81,12.7,10.5,3.8,0.86,0.25,1.11,0.71,0.96,Matches
277,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,24-168,1996,17,13,1203,13.4,3,0,0,0,3,0,0.22,0.00,0.22,0.22,0.22,1.3,1.3,1.2,0.10,0.09,0.19,0.10,0.19,Matches
278,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,35-010,1986,1,0,16,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
279,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,24-144,1996,13,12,1053,11.7,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
280,Lyanco\Lyanco,br BRA,DF,Torino,23-362,1997,16,15,1395,15.5,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.02,0.01,0.03,0.02,0.03,Matches
281,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,27-098,1993,16,15,1298,14.4,2,1,0,0,5,1,0.14,0.07,0.21,0.14,0.21,0.4,0.4,0.5,0.03,0.04,0.06,0.03,0.06,Matches
282,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,27-123,1993,15,13,1156,12.8,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,0.06,0.02,0.08,0.06,0.08,Matches
283,Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,38-352,1982,8,2,297,3.3,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.00,0.03,0.03,0.03,Matches
284,Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,22-322,1998,14,9,820,9.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.0,0.08,0.11,0.19,0.08,0.19,Matches
285,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,36-077,1984,4,3,182,2.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
286,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,25-116,1995,12,7,749,8.3,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.02,0.02,0.02,Matches
287,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MF,Udinese,22-230,1998,5,0,72,0.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
288,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,29-064,1991,8,5,578,6.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.02,0.01,0.04,0.02,0.04,Matches
289,Kévin Malcuit\Kevin-Malcuit,ma MAR,MFFW,Napoli,29-181,1991,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
290,Daniel Maldini\Daniel-Maldini,it ITA,FWMF,Milan,19-109,2001,5,0,29,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.45,0.00,0.45,0.45,0.45,Matches
291,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,Atalanta,27-269,1993,17,8,809,9.0,1,3,0,0,2,0,0.11,0.33,0.44,0.11,0.44,2.5,2.5,3.1,0.27,0.35,0.62,0.27,0.62,Matches
292,Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Roma,24-286,1996,16,16,1322,14.7,2,0,0,0,5,0,0.14,0.00,0.14,0.14,0.14,1.0,1.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
293,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,23-213,1997,9,3,367,4.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,0.19,0.05,0.24,0.19,0.24,Matches
294,Mario Mandžukić\Mario-Mandzukic,hr CRO,FW,Milan,34-252,1986,1,0,21,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,2.84,0.00,2.84,2.84,2.84,Matches
295,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,29-228,1991,17,16,1340,14.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,0.04,0.03,0.07,0.04,0.07,Matches
296,Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,24-048,1996,4,2,191,2.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.05,0.06,0.01,0.06,Matches
