,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
338,Iker Muniain\Iker-Muniain,es ESP,MFFW,Athletic Club,28-040,1992,19,16,1314,14.6,4,2,0,0,1,0,0.27,0.14,0.41,0.27,0.41,3.1,3.1,1.2,0.21,0.08,0.29,0.21,0.29,Matches
339,Aihen Muñoz\Aihen-Munoz,es ESP,DF,Real Sociedad,23-165,1997,12,11,992,11.0,0,1,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.4,0.03,0.03,0.06,0.03,0.06,Matches
340,Joaquín Muñoz\Joaquin-Munoz,es ESP,FW,Huesca,21-324,1999,3,0,41,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
341,Jeison Murillo\Jeison-Murillo,co COL,DF,Celta Vigo,28-246,1992,18,18,1573,17.5,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
342,Yunus Musah\Yunus-Musah,us USA,MF,Valencia,18-060,2002,19,14,1150,12.8,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.7,0.04,0.06,0.09,0.04,0.09,Matches
343,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Eibar,28-197,1992,16,10,816,9.1,1,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,1.4,1.4,0.8,0.15,0.09,0.24,0.15,0.24,Matches
344,Nacho\Nacho,es ESP,DF,Real Madrid,31-010,1990,7,7,582,6.5,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
345,Nacho\Nacho,es ESP,DF,Valladolid,31-327,1989,16,16,1352,15.0,0,1,0,0,1,1,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.3,0.02,0.09,0.11,0.02,0.11,Matches
346,Nano\Nano,es ESP,FWMF,Cádiz,25-358,1995,1,0,9,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
347,Roberto Navarro\Roberto-Navarro,es ESP,MF,Real Sociedad,18-291,2002,1,0,35,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches
348,Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,31-005,1990,16,15,1240,13.8,1,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,0.8,0.02,0.06,0.08,0.02,0.08,Matches
349,Jesús Navas\Jesus-Navas,es ESP,DF,Sevilla,35-068,1985,18,18,1505,16.7,0,4,0,0,4,0,0.00,0.24,0.24,0.00,0.24,0.5,0.5,3.4,0.03,0.21,0.23,0.03,0.23,Matches
350,Raúl Navas\Raul-Navas,es ESP,DF,Osasuna,32-262,1988,2,2,168,1.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
351,Álvaro Negredo\Alvaro-Negredo,es ESP,FW,Cádiz,35-161,1985,17,15,1193,13.3,4,3,0,0,3,1,0.30,0.23,0.53,0.30,0.53,4.3,4.3,1.8,0.33,0.14,0.46,0.33,0.46,Matches
352,Neto\Neto,br BRA,GK,Barcelona,31-193,1989,6,6,540,6.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
353,Carlos Neva\Carlos-Neva,es ESP,DF,Granada,24-230,1996,18,18,1536,17.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.03,0.00,0.03,0.03,0.03,Matches
354,Mamor Niang\Mamor-Niang,sn SEN,FWMF,Getafe,18-359,2002,1,0,22,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.31,0.00,0.31,0.31,0.31,Matches
355,Manuel Nieto\Manuel-Nieto,es ESP,FW,Cádiz,22-305,1998,1,0,10,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,2.42,0.00,2.42,2.42,2.42,Matches
356,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,26-068,1994,14,8,795,8.8,1,0,0,1,3,0,0.11,0.00,0.11,0.11,0.11,1.5,0.6,0.2,0.17,0.03,0.19,0.06,0.09,Matches
357,Nino\Nino,es ESP,MFFW,Elche,40-232,1980,9,0,192,2.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,0.15,0.36,0.51,0.15,0.51,Matches
358,Fernando Niño\Fernando-Nino,es ESP,FW,Villarreal,20-096,2000,10,7,456,5.1,3,0,0,0,1,0,0.59,0.00,0.59,0.59,0.59,4.1,4.1,0.1,0.80,0.03,0.83,0.80,0.83,Matches
359,Nolito\Nolito,es ESP,MFFW,Celta Vigo,34-105,1986,19,18,1398,15.5,4,1,0,0,3,0,0.26,0.06,0.32,0.26,0.32,4.5,4.5,3.9,0.29,0.25,0.54,0.29,0.54,Matches
360,Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,23-364,1997,10,9,817,9.1,1,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.1,0.04,0.01,0.05,0.04,0.05,Matches
361,Kelechi Nwakali\Kelechi-Nwakali,ng NGA,MFFW,Huesca,22-237,1998,5,1,141,1.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
362,Allan Nyom\Allan-Nyom,cm CMR,MFDF,Getafe,32-263,1988,18,16,1278,14.2,0,2,0,0,6,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.6,0.03,0.11,0.14,0.03,0.14,Matches
363,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,28-021,1993,18,18,1620,18.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
364,Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,26-201,1994,19,17,1501,16.7,3,4,3,3,2,0,0.18,0.24,0.42,0.00,0.24,5.6,3.3,2.8,0.33,0.17,0.50,0.20,0.36,Matches
365,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,25-045,1995,2,1,70,0.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
366,Shinji Okazaki\Shinji-Okazaki,jp JPN,FWMF,Huesca,34-287,1986,16,10,842,9.4,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,1.6,1.6,0.1,0.17,0.01,0.18,0.17,0.18,Matches
367,Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,26-191,1994,18,18,1615,17.9,0,2,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,2.2,0.02,0.12,0.14,0.02,0.14,Matches
368,Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,29-020,1992,14,13,1188,13.2,0,1,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.0,0.01,0.00,0.01,0.01,0.01,Matches
369,Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,23-089,1997,15,15,1286,14.3,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.1,0.06,0.08,0.14,0.06,0.14,Matches
370,Javier Ontiveros\Javier-Ontiveros,es ESP,FWMF,Huesca,23-141,1997,17,10,873,9.7,2,1,1,1,5,0,0.21,0.10,0.31,0.10,0.21,1.8,1.1,1.6,0.19,0.17,0.36,0.11,0.28,Matches
371,Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Valladolid,35-001,1986,17,15,1166,13.0,2,1,2,2,2,0,0.15,0.08,0.23,0.00,0.08,2.3,0.7,1.8,0.18,0.14,0.31,0.06,0.20,Matches
372,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,23-282,1997,15,13,993,11.0,8,4,5,5,1,0,0.73,0.36,1.09,0.27,0.63,7.4,3.5,2.7,0.67,0.24,0.91,0.32,0.56,Matches
373,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,28-255,1992,20,20,1800,20.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
374,Ante Palaversa\Ante-Palaversa,hr CRO,MFFW,Getafe,20-297,2000,2,0,9,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.57,0.57,0.00,0.57,Matches
375,Daniel Parejo\Daniel-Parejo,es ESP,MF,Villarreal,31-287,1989,18,18,1601,17.8,2,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,2.6,0.06,0.15,0.21,0.06,0.21,Matches
376,Marvin Olawale Akinlabi Park\Marvin-Olawale-Akinlabi-Park,es ESP,FW,Real Madrid,20-209,2000,1,0,21,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
377,Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,27-229,1993,3,2,200,2.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.05,0.00,0.05,0.05,0.05,Matches
378,John Patrick\John-Patrick,es ESP,MFDF,Getafe,17-126,2003,6,0,65,0.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.18,0.00,0.18,0.18,0.18,Matches
379,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,30-063,1990,14,14,1186,13.2,1,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,0.5,0.5,0.0,0.03,0.00,0.04,0.03,0.04,Matches
