,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
257,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,21-356,1999,1,0,1,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
258,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,23-281,1997,5,3,262,2.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.01,0.12,0.14,0.01,0.14,Matches
259,Javi Martínez\Javi-Martinez,es ESP,MFDF,Bayern Munich,32-148,1988,10,3,278,3.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.09,0.05,0.14,0.09,0.14,Matches
260,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,27-361,1993,14,13,1063,11.8,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches
261,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,20-108,2000,9,1,268,3.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.9,0.29,0.31,0.60,0.29,0.60,Matches
262,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23-214,1997,15,12,997,11.1,7,1,1,1,2,0,0.63,0.09,0.72,0.54,0.63,7.4,6.7,1.5,0.67,0.13,0.81,0.60,0.74,Matches
263,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,20-141,2000,3,3,220,2.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
264,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,23-048,1997,7,5,371,4.1,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.17,0.06,0.23,0.17,0.23,Matches
265,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,31-311,1989,8,1,139,1.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,0.35,0.41,0.76,0.35,0.76,Matches
266,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,25-284,1995,7,4,432,4.8,0,1,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.0,0.0,0.4,0.01,0.08,0.09,0.01,0.09,Matches
