Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,2020-11-01,12:30 (17:00),Udinese,1.1,1–2,1.1,Milan,,Dacia Arena,Marco Di Bello,Match Report,
6,Sun,2020-11-01,15:00 (19:30),Torino,2.8,3–4,1.4,Lazio,,Stadio Olimpico di Torino,Daniele Chiffi,Match Report,
6,Sun,2020-11-01,15:00 (19:30),Spezia,0.7,1–4,3.4,Juventus,,Stadio Dino Manuzzi,Rosario Abisso,Match Report,
6,Sun,2020-11-01,18:00 (22:30),Roma,3.0,2–0,0.4,Fiorentina,,Stadio Olimpico,Daniele Orsato,Match Report,
6,Sun,2020-11-01,18:00 (22:30),Napoli,2.3,0–2,1.4,Sassuolo,,Stadio San Paolo,Maurizio Mariani,Match Report,
6,Sun,2020-11-01,20:45 (01:15),Sampdoria,0.7,1–1,0.6,Genoa,,Stadio Comunale Luigi Ferraris,Federico La Penna,Match Report,
6,Mon,2020-11-02,20:45 (01:15),Hellas Verona,1.7,3–1,1.6,Benevento,,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
,,,,,,,,,,,,,
3,Wed,2020-11-04,17:00 (21:30),Genoa,1.1,1–2,0.6,Torino,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
,,,,,,,,,,,,,
7,Fri,2020-11-06,20:45 (01:15),Sassuolo,0.1,0–0,0.1,Udinese,,Stadio Città del Tricolore,Eugenio Abbattista,Match Report,
7,Sat,2020-11-07,15:00 (19:30),Cagliari,2.1,2–0,0.1,Sampdoria,,Sardegna Arena,Giovanni Ayroldi,Match Report,
7,Sat,2020-11-07,18:00 (22:30),Benevento,0.3,0–3,0.9,Spezia,,Stadio Ciro Vigorito,Gianluca Aureliano,Match Report,
7,Sat,2020-11-07,20:45 (01:15),Parma,0.1,0–0,0.7,Fiorentina,,Stadio Ennio Tardini,Federico La Penna,Match Report,
7,Sun,2020-11-08,12:30 (17:00),Lazio,0.9,1–1,1.2,Juventus,,Stadio Olimpico,Davide Massa,Match Report,
7,Sun,2020-11-08,15:00 (19:30),Atalanta,0.8,1–1,1.0,Inter,,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Match Report,
7,Sun,2020-11-08,15:00 (19:30),Genoa,0.6,1–3,2.0,Roma,,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
7,Sun,2020-11-08,15:00 (19:30),Torino,0.2,0–0,0.3,Crotone,,Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
7,Sun,2020-11-08,18:00 (22:30),Bologna,0.8,0–1,1.2,Napoli,,Stadio Renato Dall'Ara,Fabrizio Pasqua,Match Report,
7,Sun,2020-11-08,20:45 (01:15),Milan,3.3,2–2,1.5,Hellas Verona,,Stadio Giuseppe Meazza,Marco Guida,Match Report,
,,,,,,,,,,,,,
8,Sat,2020-11-21,15:00 (19:30),Crotone,0.6,0–2,1.8,Lazio,,Stadio Ezio Scida,Juan Sacchi,Match Report,
8,Sat,2020-11-21,18:00 (22:30),Spezia,0.5,0–0,1.2,Atalanta,,Stadio Dino Manuzzi,Antonio Rapuano,Match Report,
8,Sat,2020-11-21,20:45 (01:15),Juventus,2.1,2–0,0.1,Cagliari,,Allianz Stadium,Fabio Maresca,Match Report,
8,Sun,2020-11-22,12:30 (17:00),Fiorentina,0.8,0–1,0.7,Benevento,,Stadio Artemio Franchi,Davide Ghersini,Match Report,
8,Sun,2020-11-22,15:00 (19:30),Hellas Verona,1.2,0–2,0.5,Sassuolo,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,
8,Sun,2020-11-22,15:00 (19:30),Inter,3.6,4–2,1.9,Torino,,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
8,Sun,2020-11-22,15:00 (19:30),Roma,2.8,3–0,0.0,Parma,,Stadio Olimpico,Gianluca Manganiello,Match Report,
8,Sun,2020-11-22,15:00 (19:30),Sampdoria,0.7,1–2,1.7,Bologna,,Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
8,Sun,2020-11-22,18:00 (22:30),Udinese,0.5,1–0,1.0,Genoa,,Dacia Arena,Giampaolo Calvarese,Match Report,
8,Sun,2020-11-22,20:45 (01:15),Napoli,1.7,1–3,2.6,Milan,,Stadio San Paolo,Paolo Valeri,Match Report,
,,,,,,,,,,,,,
9,Sat,2020-11-28,15:00 (19:30),Sassuolo,0.7,0–3,1.2,Inter,,Stadio Città del Tricolore,Massimiliano Irrati,Match Report,
9,Sat,2020-11-28,18:00 (22:30),Benevento,0.4,1–1,1.6,Juventus,,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
9,Sat,2020-11-28,20:45 (01:15),Atalanta,1.8,0–2,1.7,Hellas Verona,,Stadio Atleti Azzurri d'Italia,Davide Massa,Match Report,
